# UMIST 2012, no negative ions, no photoreactions
# Number of Ionization Reactions
3
# List of Ionization Reactions
# R1    R2      P1      P2      P3      P4      ratio
H2    0       H2+     e-      0       0       0.97
H2    0       H+      H       e-      0       0.03
H     0       H+      e-      0       0       0.50
# Number of Gas-phase Reactions
121
# List of Gas-phase Reactions
# type	R1	R2	P1	P2	P3	P4	alpha		beta		gamma		Tmin		Tmax
NN	H	H	H2	0	0	0	3.799000e-21	0.500000e+00	0.000000e+00	1.000000e+01	3.000000e+03
AD	CH	O	HCO+	e-	0	0	1.090000e-11	-2.190000e+00	1.651000e+02	1.000000e+01	2.500000e+03
CE	C+	CH	CH+	C	0	0	3.800000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
CE	C+	HCO	HCO+	C	0	0	4.800000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
CE	C+	SO	SO+	C	0	0	2.600000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
CE	H+	CH3	CH3+	H	0	0	3.400000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
CE	H+	H2O	H2O+	H	0	0	6.900000e-09	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
CE	H+	O2	O2+	H	0	0	2.000000e-09	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
CE	H+	O	O+	H	0	0	6.860000e-10	2.600000e-01	2.243000e+02	1.000000e+01	4.100000e+04
CE	H+	OH	OH+	H	0	0	2.100000e-09	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
CE	H+	S	S+	H	0	0	1.300000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
CE	H+	SO	SO+	H	0	0	3.200000e-09	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
CE	H	CO+	CO	H+	0	0	7.500000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
CE	H	H2+	H2	H+	0	0	6.400000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
CE	H	O+	O	H+	0	0	5.660000e-10	3.600000e-01	-8.600000e+00	1.000000e+01	4.100000e+04
CE	S	C+	C	S+	0	0	5.000000e-11	0.000000e+00	0.000000e+00	1.000000e+01	4.999000e+03
CE	S	C+	C	S+	0	0	5.540000e-12	8.600000e-01	6.807000e+02	5.000000e+03	5.000000e+04
DR	CH+	e-	C	H	0	0	1.500000e-07	-4.200000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	CH2+	e-	C	H2	0	0	7.680000e-08	-6.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	CH2+	e-	C	H	H	0	4.030000e-07	-6.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	CH2+	e-	CH	H	0	0	1.600000e-07	-6.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	CH3+	e-	CH2	H	0	0	7.750000e-08	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	CH3+	e-	CH	H2	0	0	1.950000e-07	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	CH3+	e-	CH	H	H	0	2.000000e-07	-4.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	CO+	e-	O	C	0	0	2.000000e-07	-4.800000e-01	0.000000e+00	1.000000e+01	4.100000e+04
DR	H2+	e-	H	H	0	0	1.600000e-08	-4.300000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	H2O+	e-	O	H2	0	0	3.900000e-08	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	H2O+	e-	O	H	H	0	3.050000e-07	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	H2O+	e-	OH	H	0	0	8.600000e-08	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	H3O+	e-	H2O	H	0	0	7.090000e-08	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	H3O+	e-	O	H2	H	0	5.600000e-09	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	H3O+	e-	OH	H2	0	0	5.370000e-08	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	H3O+	e-	OH	H	H	0	3.050000e-07	-5.000000e-01	0.000000e+00	1.000000e+01	1.000000e+03
DR	HCO+	e-	CO	H	0	0	2.400000e-07	-6.900000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	O2+	e-	O	O	0	0	1.950000e-07	-7.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	OH+	e-	O	H	0	0	3.750000e-08	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
DR	SO+	e-	S	O	0	0	2.000000e-07	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
IN	C+	H2O	HCO+	H	0	0	9.000000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
IN	C+	HCO	CO	CH+	0	0	4.800000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
IN	C+	O2	CO+	O	0	0	3.420000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	C+	O2	CO	O+	0	0	4.540000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	C+	OH	CO+	H	0	0	7.700000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
IN	C+	SO	S+	CO	0	0	2.600000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
IN	C+	SO	S	CO+	0	0	2.600000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
IN	CH+	O2	HCO	O+	0	0	1.000000e-11	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	CH+	O	CO+	H	0	0	3.500000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
