# R: 1.000000e+00
# Number density as a function of    z
# 250 species in total
# Species list has 36 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+        H[m1]        C[m1]       CH[m1]   
#    O[m1]       OH[m1]       C2[m1]      C2H[m1]       CN[m1]       C3[m1]      C3H[m1]   
#   C4[m1]      C4H[m1]       H2[m1]      H2O[m1]       O2[m1]       CO[m1]      CH4[m1]   
#  NH3[m1]       NO[m1]       He[m1]      HCO[m1]        N[m1]      CH2[m1]      CH3[m1]   
#   NH[m1]      NH2[m1]       Mg[m1]     C2H2[m1]      HCN[m1]     C2H3[m1]       Si[m1]   
#   N2[m1]      SiH[m1]     SiH2[m1]     H2CO[m1]     SiH3[m1]     SiH4[m1]    CH3OH[m1]   
#    S[m1]       HS[m1]      H2S[m1]     C3H2[m1]   CH2CCH[m1]   CH3CCH[m1]      SiC[m1]   
# HCSi[m1]    CH3CN[m1]    CH2CO[m1]      SiN[m1]     HNSi[m1]       CS[m1]      SiO[m1]   
#  CO2[m1]      HCS[m1]       NS[m1]     H2CS[m1]       SO[m1]      C3N[m1]     C4H2[m1]   
# HC3N[m1]      C3O[m1]      C2S[m1]       Fe[m1]      SiS[m1]      OCS[m1]      SO2[m1]   
#   S2[m1]      C3S[m1]          HNC         SiO2      HNC[m1]     SiO2[m1]          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
#  gr1(2-)       gr1(-)          gr1       gr1(+)      gr1(2+)   
0.000000e+00 7.028557e-19
2.081266e-03 9.000946e+11 4.261860e-01 3.759122e-11 4.023118e+03 4.089361e-03 1.416635e-05 
5.575495e-12 8.428410e-06 1.909871e+04 2.658032e-02 6.819799e+00 3.641578e-04 2.791158e+14 
2.629614e+11 2.068947e+05 1.710777e+11 9.000749e-01 3.593054e+02 7.060140e+05 5.456662e+13 
7.566669e-11 7.186835e-02 3.188801e-11 2.946588e-01 5.237823e-04 8.704427e-04 5.596573e+06 
2.187763e+05 9.257863e+05 1.281245e-14 3.872321e+00 3.134001e+10 1.138545e-03 5.155932e-04 
9.162822e-09 4.969956e-03 1.074481e-02 8.500052e-01 1.804084e+02 1.047921e-07 7.236102e-12 
1.228267e+03 4.512213e+03 1.079105e+04 1.331375e-11 1.522928e-04 2.471464e-01 9.025820e-08 
7.690369e-03 1.288367e+00 3.459733e+04 9.384478e+05 1.132670e+10 9.304771e-09 1.979190e+00 
6.884187e+05 1.463636e+07 2.444060e+01 1.042956e+07 6.035927e+01 1.242667e+04 6.624859e+01 
1.399144e+06 4.561543e-01 2.296841e-06 1.033830e+10 3.887750e-05 4.507798e-01 5.163167e-09 
5.754586e-08 4.449962e-16 1.426487e-13 1.653731e-11 7.041720e-17 2.117653e-15 2.955112e-16 
2.263278e-17 5.121170e-11 7.381003e-15 4.938612e-13 3.262191e-10 8.755456e-11 1.993326e-07 
6.349088e-12 3.675007e-15 1.183141e-08 1.462812e-07 5.922826e-08 5.971696e-08 8.609885e-12 
7.789747e-15 4.527085e-09 4.213361e-12 1.977315e-11 2.940399e-06 6.905831e-13 5.318319e-16 
1.248197e-11 3.285381e-12 2.125132e-12 9.800262e-18 1.418838e-12 2.987275e-16 1.244371e-12 
3.775747e-24 3.209246e-15 1.282437e-05 5.237952e-11 9.061735e-11 1.969813e-09 1.013010e-10 
1.293271e-05 1.506277e-22 2.547544e-15 6.973930e-23 2.122985e-07 6.637948e-15 1.301331e-20 
2.084107e-15 1.850257e-16 3.055542e-13 5.288589e-05 2.563195e-14 7.839669e-07 1.274121e-04 
5.100173e-20 5.260975e-06 9.031879e-13 1.400452e-18 8.337970e-21 1.362692e-05 1.137234e-17 
2.955387e-16 4.114684e-11 5.234799e-18 1.908331e-14 1.887731e-02 6.904194e-14 2.802804e-24 
3.517583e-13 3.505099e-13 1.307174e-17 3.652384e-23 7.776558e-18 3.232772e-07 3.115196e-12 
2.055745e-09 7.522839e-13 2.899174e+00 2.426863e+04 2.051089e-08 2.983212e-02 1.253130e-13 
4.548291e-04 6.514111e-07 1.048241e-01 4.466315e-19 3.314442e-15 3.828894e-24 5.642013e-14 
8.188355e-15 3.937239e-12 3.075321e+00 7.272640e-06 4.411545e-06 1.147750e-20 1.932054e-10 
1.390404e-03 2.868147e-13 6.521361e-13 4.366258e-20 3.146425e-11 3.397224e-10 1.247639e-07 
2.607946e-11 6.723252e-20 3.109768e-20 7.241331e-07 1.333306e-05 2.351956e-07 1.176889e-20 
1.823812e-17 1.486110e-08 1.228114e-17 6.798013e-12 1.862435e-13 9.555178e-08 8.295545e-04 
1.606068e+00 4.752809e-15 5.466177e-12 3.438762e-05 5.098955e-04 7.367321e-09 1.077614e-01 
2.539563e-06 7.431937e-07 3.909534e-05 1.514402e-02 1.180709e-09 2.257026e-16 6.322478e+03 
3.191862e-16 3.984733e-10 3.697510e-04 1.065121e+06 1.761933e-15 1.648160e-02 9.792373e-08 
4.531345e-13 2.391607e-03 3.487612e-02 1.179310e-10 2.077646e-01 8.272463e-15 7.743035e-09 
4.064353e-14 4.204847e-06 6.678568e-19 8.994343e-12 1.736141e-16 3.853064e-13 1.475049e-12 
6.143173e-11 1.394796e-03 7.540989e-07 2.064405e-07 3.152561e-09 1.404862e-01 5.141954e-07 
1.481593e-12 7.581276e-06 1.206543e-04 1.012113e-03 3.395002e-13 1.165496e-11 1.182353e-05 
1.655198e-18 7.040505e-14 3.344340e-09 6.511700e-14 4.082372e-15 8.380508e-08 5.784865e-20 
1.226452e-01 1.511035e+01 1.030375e+03 1.471983e+01 1.247954e-01 
2.500000e-01 7.084480e-19
6.226114e-04 8.726350e+11 1.394902e+00 3.782942e-11 4.998902e+05 3.969216e-03 7.268505e-12 
5.614577e-12 8.462227e-06 9.623868e-03 2.582156e-02 3.460016e-06 3.558558e-04 2.705281e+14 
2.549826e+11 1.234953e+03 1.659256e+11 8.638196e-01 3.618113e+02 7.011872e+05 5.288778e+13 
7.608550e-11 7.066684e-02 3.207834e-11 2.828300e-01 5.275659e-04 8.767893e-04 5.424385e+06 
2.118828e+05 8.978063e+05 1.289464e-14 3.076183e-04 3.037577e+10 1.111012e-03 5.035908e-04 
