# R: 1.000000e+00
# Number density as a function of    z
# 250 species in total
# Species list has 36 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+        H[m1]        C[m1]       CH[m1]   
#    O[m1]       OH[m1]       C2[m1]      C2H[m1]       CN[m1]       C3[m1]      C3H[m1]   
#   C4[m1]      C4H[m1]       H2[m1]      H2O[m1]       O2[m1]       CO[m1]      CH4[m1]   
#  NH3[m1]       NO[m1]       He[m1]      HCO[m1]        N[m1]      CH2[m1]      CH3[m1]   
#   NH[m1]      NH2[m1]       Mg[m1]     C2H2[m1]      HCN[m1]     C2H3[m1]       Si[m1]   
#   N2[m1]      SiH[m1]     SiH2[m1]     H2CO[m1]     SiH3[m1]     SiH4[m1]    CH3OH[m1]   
#    S[m1]       HS[m1]      H2S[m1]     C3H2[m1]   CH2CCH[m1]   CH3CCH[m1]      SiC[m1]   
# HCSi[m1]    CH3CN[m1]    CH2CO[m1]      SiN[m1]     HNSi[m1]       CS[m1]      SiO[m1]   
#  CO2[m1]      HCS[m1]       NS[m1]     H2CS[m1]       SO[m1]      C3N[m1]     C4H2[m1]   
# HC3N[m1]      C3O[m1]      C2S[m1]       Fe[m1]      SiS[m1]      OCS[m1]      SO2[m1]   
#   S2[m1]      C3S[m1]          HNC         SiO2      HNC[m1]     SiO2[m1]          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
#  gr1(2-)       gr1(-)          gr1       gr1(+)      gr1(2+)   
0.000000e+00 7.028557e-19
4.317001e-05 8.983694e+11 1.657725e+00 3.763159e-11 1.009359e+06 4.086963e-03 7.616304e-12 
5.638095e-12 8.101613e-06 9.334920e-03 2.534877e-02 3.434468e-06 3.281547e-04 2.791164e+14 
2.631861e+11 2.838881e+04 1.713027e+11 8.979179e-01 3.600410e+02 7.019207e+05 5.456662e+13 
7.591975e-11 7.225460e-02 3.195375e-11 2.933876e-01 5.245840e-04 8.717571e-04 5.596573e+06 
2.193898e+05 8.440512e+05 1.293095e-14 3.324017e-04 3.134006e+10 1.102764e-03 5.016999e-04 
9.167203e-09 5.070655e-03 9.998088e-03 8.062394e-01 1.814764e+02 1.055697e-07 7.225436e-12 
1.151208e+03 4.524092e+03 1.080019e+04 1.217029e-11 1.738474e-04 2.282174e-01 9.069698e-08 
7.484206e-03 1.180346e+00 3.481514e+04 9.612275e+05 1.110146e+10 9.888548e-09 1.988745e+00 
6.132217e+05 1.467112e+07 2.334594e+01 1.055141e+07 5.837993e+01 1.148836e+04 6.310917e+01 
1.399144e+06 5.209679e-01 2.314342e-06 1.033834e+10 3.945701e-05 3.992696e-01 5.161110e-09 
5.760286e-08 4.356376e-16 1.397922e-13 1.653944e-11 7.038836e-17 2.140329e-15 2.693068e-16 
2.150137e-17 5.162278e-11 7.463728e-15 4.979953e-13 3.262186e-10 8.758583e-11 1.952985e-07 
6.228759e-12 3.654121e-15 1.182382e-08 1.454447e-07 5.920310e-08 5.967219e-08 8.606184e-12 
7.766613e-15 4.514231e-09 4.211543e-12 1.976445e-11 2.937868e-06 6.955027e-13 4.846762e-16 
1.257684e-11 3.269793e-12 2.124225e-12 1.139954e-17 1.446641e-12 2.919266e-16 1.276791e-12 
3.823175e-24 2.984354e-15 1.278014e-05 5.212074e-11 9.034036e-11 1.989538e-09 1.021142e-10 
1.367281e-05 1.719732e-22 2.907115e-15 6.437214e-23 2.129424e-07 6.080527e-15 1.200496e-20 
2.060392e-15 1.894408e-16 2.993452e-13 5.610000e-05 2.577327e-14 7.862785e-07 1.274373e-04 
4.895626e-20 5.305068e-06 9.096756e-13 1.295604e-18 7.949059e-21 1.362939e-05 1.296790e-17 
3.133308e-16 4.113195e-11 5.271890e-18 1.808488e-14 1.884113e-02 3.599218e-20 2.805806e-24 
4.846879e-14 3.503044e-13 7.027787e-24 3.693402e-23 7.475036e-18 1.580090e-13 2.970859e-12 
1.035278e-15 6.779080e-13 2.899181e+00 2.428938e+04 2.814378e-09 2.987135e-02 1.250127e-13 
4.557603e-04 6.476343e-07 1.048241e-01 4.469637e-19 3.332255e-15 3.836753e-24 5.617673e-14 
8.200887e-15 3.943184e-12 3.075321e+00 7.293035e-06 4.022062e-06 1.158201e-20 1.652724e-14 
1.390406e-03 2.778011e-13 6.345635e-13 4.368345e-20 3.210177e-11 3.161131e-10 1.183399e-07 
2.622361e-11 6.772836e-20 3.104893e-20 6.787021e-07 1.336816e-05 2.353949e-07 1.075810e-20 
2.081942e-17 1.372288e-08 1.233704e-17 6.615772e-12 1.706282e-13 9.615334e-08 8.496910e-04 
