# R: 1.000000e+01
# Number density as a function of    z
# 175 species in total
# Species list has 25 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+          HNC         SiO2          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
0.000000e+00 1.588320e-17
3.435716e+02 6.483395e+07 1.841818e-04 7.282473e-08 1.494395e+04 2.025084e-01 1.183591e-04 
1.671049e-06 1.346219e-06 7.048468e-01 6.288903e-03 6.552956e-09 3.650396e-02 4.674631e+11 
1.564547e+03 1.975451e+08 2.347938e+08 5.274459e+04 4.765055e+03 3.492810e+00 9.116181e+10 
7.541008e-05 4.394676e+02 3.576195e-08 5.809333e-07 4.663844e-02 4.784315e-01 9.061312e+03 
4.004251e+02 1.858632e+00 6.911487e-10 2.439584e-06 5.235699e+07 5.536711e-06 3.820761e-16 
4.467673e-01 2.378018e-16 3.241822e-13 1.448538e-07 1.457452e-03 8.188451e-07 1.374148e-06 
2.249055e-04 7.178579e-02 6.637616e+01 3.888538e-15 9.209086e-20 1.273847e-04 2.212872e-01 
5.453258e-07 9.315919e-08 2.212058e+00 2.195688e+01 6.652387e+07 2.705186e-08 2.555118e-08 
4.029483e+00 1.109041e+04 1.288810e+00 8.511988e+05 2.719845e+01 1.045586e+04 1.274860e-06 
2.282568e+03 2.080154e-14 5.832063e+00 1.728627e+07 1.714633e-10 2.774424e-06 2.932331e-07 
1.649144e-06 3.075573e-14 5.611143e-10 9.438434e-10 5.151848e-14 2.255683e-12 1.445156e-17 
3.230192e-13 7.437265e-10 8.153913e-12 5.313401e-11 7.403154e-09 1.488314e-09 6.730247e-04 
8.846704e-10 2.960435e-12 1.314931e-06 3.948514e-07 1.330980e-06 2.370089e-02 3.728869e-10 
8.887361e-13 1.439577e-07 9.483026e-11 4.497421e-10 2.886178e+02 2.657716e-08 2.292083e-15 
2.814654e-05 6.406245e-09 4.769932e-11 4.952246e-17 1.797814e-12 2.834658e-09 1.215334e-17 
3.159367e-31 6.646971e-17 9.647883e-06 7.694356e-09 4.518410e-09 9.053512e-07 3.040028e-10 
2.360557e-09 1.668558e-23 6.169182e-17 3.409033e-17 4.726869e-07 3.908681e-15 2.147543e-19 
4.177225e-14 2.611558e-16 2.430047e-11 4.804004e-07 3.123669e-07 1.342134e-06 1.927409e-03 
2.698729e-16 1.246861e-05 6.658324e-11 4.338305e-14 1.219808e-22 5.491472e+01 2.388196e-16 
1.605301e-10 3.068695e-09 2.431123e-08 5.886951e-13 7.052038e-04 3.325318e+03 1.087808e-05 
9.741749e-09 9.303839e-04 1.998273e-03 1.016698e-07 1.190814e-06 6.881355e-08 3.933867e-06 
3.295561e-07 7.874685e-13 1.085588e-19 5.480675e-10 9.607288e-10 5.694277e-11 1.140130e-15 
1.434782e-07 2.575728e-05 5.945914e-11 1.023438e-07 9.319940e-06 4.343053e-06 1.020060e-06 
6.471986e-15 2.872306e-03 4.996560e-06 5.013590e-03 4.153309e-10 1.472074e-06 1.934500e-08 
2.902903e-20 5.897493e-07 1.886252e-03 3.751629e-12 8.374332e-18 7.213706e-13 4.862957e-18 
2.500000e-01 1.602519e-17
3.379899e+02 6.413716e+07 3.596636e-07 7.306692e-08 1.477280e+04 2.039602e-01 1.170434e-04 
1.680720e-06 1.352327e-06 6.884250e-01 6.194821e-03 6.551659e-09 3.596024e-02 4.530801e+11 
1.525180e+03 1.913101e+08 2.272906e+08 5.114999e+04 4.669739e+03 3.459954e+00 8.835706e+10 
7.381636e-05 4.339902e+02 3.523749e-08 5.848984e-07 4.618028e-02 4.734226e-01 8.778326e+03 
3.906884e+02 1.813764e+00 6.903641e-10 7.705457e-09 5.074610e+07 5.478566e-06 3.799536e-16 
4.368577e-01 2.337317e-16 3.142123e-13 1.424515e-07 1.454268e-03 8.071299e-07 1.332418e-06 
2.229459e-04 7.071888e-02 6.470057e+01 3.920875e-15 8.424788e-20 1.250985e-04 2.163557e-01 
5.390456e-07 9.020253e-08 2.179389e+00 2.132142e+01 6.477391e+07 2.653386e-08 2.526780e-08 
