# R: 1.000000e+00
# Number density as a function of    z
# 250 species in total
# Species list has 36 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+        H[m1]        C[m1]       CH[m1]   
#    O[m1]       OH[m1]       C2[m1]      C2H[m1]       CN[m1]       C3[m1]      C3H[m1]   
#   C4[m1]      C4H[m1]       H2[m1]      H2O[m1]       O2[m1]       CO[m1]      CH4[m1]   
#  NH3[m1]       NO[m1]       He[m1]      HCO[m1]        N[m1]      CH2[m1]      CH3[m1]   
#   NH[m1]      NH2[m1]       Mg[m1]     C2H2[m1]      HCN[m1]     C2H3[m1]       Si[m1]   
#   N2[m1]      SiH[m1]     SiH2[m1]     H2CO[m1]     SiH3[m1]     SiH4[m1]    CH3OH[m1]   
#    S[m1]       HS[m1]      H2S[m1]     C3H2[m1]   CH2CCH[m1]   CH3CCH[m1]      SiC[m1]   
# HCSi[m1]    CH3CN[m1]    CH2CO[m1]      SiN[m1]     HNSi[m1]       CS[m1]      SiO[m1]   
#  CO2[m1]      HCS[m1]       NS[m1]     H2CS[m1]       SO[m1]      C3N[m1]     C4H2[m1]   
# HC3N[m1]      C3O[m1]      C2S[m1]       Fe[m1]      SiS[m1]      OCS[m1]      SO2[m1]   
#   S2[m1]      C3S[m1]          HNC         SiO2      HNC[m1]     SiO2[m1]          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
#  gr1(2-)       gr1(-)          gr1       gr1(+)      gr1(2+)   
0.000000e+00 7.028557e-19
8.246044e-05 8.875990e+11 4.055790e+05 2.966402e-10 3.792127e+04 3.648322e-03 3.303761e-06 
4.318975e-12 1.814841e-09 9.542532e+00 6.923538e+00 1.828506e-05 6.317875e+01 2.789470e+14 
2.384930e+11 1.828627e+03 1.765768e+11 4.770310e-01 3.492310e+02 5.505042e+05 5.452772e+13 
1.266248e-10 8.842159e-02 2.275681e-10 1.538989e-01 5.073264e-04 8.434137e-04 5.592584e+07 
9.520931e+04 1.539625e+05 7.786928e-15 4.551330e+04 3.131804e+10 2.653870e+01 2.504268e+00 
7.623890e-09 5.944250e-03 1.266809e-02 7.835327e+02 2.317568e+04 9.667576e-08 2.627548e-11 
7.397728e+02 1.309833e+03 2.211725e+05 8.474575e-06 1.033395e-01 1.098345e+02 2.095973e-08 
2.149977e+02 5.520552e+02 3.999800e+04 1.012050e+10 5.692944e+09 1.796567e-11 1.567454e+00 
1.804808e+05 1.406413e+07 6.183738e+03 8.194731e+06 1.750251e+05 5.793163e+03 1.071891e+04 
1.398147e+07 2.058810e+02 2.401177e-06 1.032745e+10 3.321379e-05 4.513351e+06 5.351561e-09 
6.166951e-08 3.573721e-16 1.138934e-12 1.601621e-11 4.688226e-16 2.064395e-15 4.692452e-17 
1.477956e-16 3.003450e-11 7.253522e-15 3.014619e-13 3.263152e-10 8.261989e-11 3.190638e-08 
3.345969e-12 3.425120e-15 1.153097e-08 3.225827e-08 5.647172e-08 6.720704e-08 8.211153e-12 
8.087455e-15 3.942694e-09 4.019008e-12 1.887864e-11 1.672889e-05 4.012305e-13 8.725083e-17 
7.485265e-12 3.466244e-08 2.026320e-12 2.484919e-16 1.006863e-09 1.944377e-16 1.835339e-12 
4.830076e-24 5.507362e-13 9.352765e-06 4.280866e-11 7.004341e-11 1.163002e-09 5.968360e-11 
1.537875e-09 1.097304e-19 1.852086e-12 3.214559e-20 4.723614e-08 3.420797e-12 6.044042e-17 
2.988411e-15 2.069346e-12 1.465006e-13 9.785735e-08 1.739352e-14 1.745482e-07 6.516347e-05 
6.699003e-17 3.070722e-06 8.854726e-14 6.952499e-19 1.439328e-18 7.025159e-05 3.862715e-15 
5.954930e-19 4.106812e-11 3.123040e-18 8.755140e-09 1.861525e-02 4.013122e-20 2.211473e-23 
1.079157e-15 3.127074e-13 3.048249e-18 2.831172e-23 1.674482e-21 1.615231e-10 8.114338e-10 
5.511807e-15 1.305158e-07 2.897421e+00 2.201045e+04 1.812844e-10 3.079104e-02 6.641471e-14 
4.420764e-04 5.079283e-07 1.047493e-01 5.048493e-19 4.077848e-15 2.726336e-23 2.946797e-14 
7.931098e-15 3.814980e-12 3.073128e+01 3.164982e-06 7.336603e-07 6.912508e-21 1.008245e-13 
1.389429e-03 6.685453e-09 3.167464e-09 3.632927e-20 3.763240e-11 4.005317e-10 1.150070e-04 
2.383015e-11 6.199646e-20 2.534529e-20 4.361380e-07 3.870402e-06 4.820549e-06 7.491223e-15 
1.237561e-14 6.604434e-06 2.750778e-18 1.900503e-07 7.980389e-11 1.104675e-07 8.946165e+00 
